,Topic 1,Topic 2,Topic 3,Topic 4
Rank 1,good,room,great,customer
Rank 2,chicken,hotel,food,service
Rank 3,food,vega,service,minute
Rank 4,ordered,night,great food,customer service
Rank 5,sauce,drink,friendly,asked
Rank 6,menu,bar,great service,business
Rank 7,burger,stay,staff,another
Rank 8,salad,nice,good,manager
Rank 9,cheese,strip,atmosphere,ever
Rank 10,pizza,people,amazing,order
Rank 11,lunch,pool,food great,experience
Rank 12,delicious,nnthe,love,work
Rank 13,dish,fun,service great,money
Rank 14,flavor,lot,awesome,took
Rank 15,meal,show,recommend,car
