text,label,source,restaurant,stars
Kevin was amazing and the food was delicious.,1,google_maps,Tokyo Hibachi Catering,5
"Kevin was great! He was on time, entertaining and the food was great!",1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing and so fun. I would definitely recommend him.,1,google_maps,Tokyo Hibachi Catering,5
Peter was awesome,1,google_maps,Tokyo Hibachi Catering,5
Peter is the best!! Food was so yummy and a really fun experience,1,google_maps,Tokyo Hibachi Catering,5
"Peter was great !! Great service and great cooking service! Definitely would recommend him for further clients, 10/10 ! Thanks again Peter !",1,google_maps,Tokyo Hibachi Catering,5
Peter was great love him food was so yummy!!,1,google_maps,Tokyo Hibachi Catering,5
Excellent job from Peter. Thank you!,1,google_maps,Tokyo Hibachi Catering,5
Amazing !!,1,google_maps,Tokyo Hibachi Catering,5
Very professional and clean. The food was so fresh and tasty!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great! The food was delicious and the entertainment was well worth it. Would highly recommend.,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great!,1,google_maps,Tokyo Hibachi Catering,5
kevin was amazing!!!,1,google_maps,Tokyo Hibachi Catering,5
Kev is the best,1,google_maps,Tokyo Hibachi Catering,5
Kevin the goatttt,1,google_maps,Tokyo Hibachi Catering,5
Good experience!,1,google_maps,Tokyo Hibachi Catering,5
Highly recommended,1,google_maps,Tokyo Hibachi Catering,5
Kevin was the best! Loved the Saki guns,1,google_maps,Tokyo Hibachi Catering,5
Great experience! Convenient and fun time!,1,google_maps,Tokyo Hibachi Catering,4
Sean was great! The food and presentation was wonderful !!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great! Lots of Sake!!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing and the food was delicious!!! It was such a fun time!! Highly recommend using Tokyo Habachi catering.,1,google_maps,Tokyo Hibachi Catering,5
We had a great night with Kevin as our chef! Kevin did a great job and we had so much fun!,1,google_maps,Tokyo Hibachi Catering,5
Kevin is amazing,1,google_maps,Tokyo Hibachi Catering,5
Kevin is great,1,google_maps,Tokyo Hibachi Catering,5
Kevin’s the man,1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing,1,google_maps,Tokyo Hibachi Catering,5
Kevin did a great job at our 50th birthday. Very entertaining and great food. Also good with gluten allergies!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great! We had a lot of fun!,1,google_maps,Tokyo Hibachi Catering,5
You’ll feel like John Wick when he lets you use the Sake Super Soaker,1,google_maps,Tokyo Hibachi Catering,5
Kevin was excellent!! We had a great time!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing- such a fun party,1,google_maps,Tokyo Hibachi Catering,5
"Kevin gave us an amazing experience. He was very friendly, entertaining, and nice. He gave such a great show and made sure to include everyone (kids & adults).",1,google_maps,Tokyo Hibachi Catering,5
Kevin was an amazing chef and made the whole process quick and easy and amazing!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great and made our new years fun!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great!!,1,google_maps,Tokyo Hibachi Catering,5
Great food! Great entertainment!!  Love Kevin,1,google_maps,Tokyo Hibachi Catering,5
Amazing!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was the best we had a blast,1,google_maps,Tokyo Hibachi Catering,5
Amazing service! Kevin was the best,1,google_maps,Tokyo Hibachi Catering,5
"Kevin is a great chef and an expert marksman. Thank you, Chef!",1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing highly recommend!,1,google_maps,Tokyo Hibachi Catering,5
Kevin put on a great show! Food was delicious and a fun time,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great!!!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was the best !!!,1,google_maps,Tokyo Hibachi Catering,5
It was very fun! I was very entertained and the food was delicious.,1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing he made the best food ever and kept us entertained the whole time!,1,google_maps,Tokyo Hibachi Catering,5
So much fun!! Sean and Kevin were hilarious and food was yum. Highly recommend!,1,google_maps,Tokyo Hibachi Catering,5
That’s my boy Mr. Kevin aka Cuzzin!!!!!!!!!!!!! He is the BEST,1,google_maps,Tokyo Hibachi Catering,5
Kevin is great !!!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great but he don’t know when to stop pouring lol,1,google_maps,Tokyo Hibachi Catering,5
Kevin was awesome!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was awesome got my family turnt with Chinese wine,1,google_maps,Tokyo Hibachi Catering,5
Was very friendly and nice and we had alot of fun Will recommend to Frenids and family food was great,1,google_maps,Tokyo Hibachi Catering,5
So much fun! And it was delicious. Highly recommend!,1,google_maps,Tokyo Hibachi Catering,5
"Eric was a wonder host for our Hibachi, our family is a little shy and he did best to work with us. The only critique I would give is with the steak. I would cook it whole for medium rare and let it sit after you cook it so it will stay medium rare. But everything else was absolutely delicious. He was fun, the food was good and my mother in law whose birthday was today was happy and in the end that is all that matters. Thank you Eric , I wish you the best on your college journey too.",1,google_maps,Tokyo Hibachi Catering,5
Kevin is the best,1,google_maps,Tokyo Hibachi Catering,5
Newly opened Habachi!! Amazing delicious! GO NOW!! INCREDIBLE!!,1,google_maps,Tokyo Hibachi Catering,5
Kevin was amazing and so fun! He made the experience so enjoyable !! We love him,1,google_maps,Tokyo Hibachi Catering,5
Kevin was great and so much fun. He preformed so well and was so friendly and entertaining.,1,google_maps,Tokyo Hibachi Catering,5
Kevin was the man; he was great on the grill and even better with the sake! If you want a fun time with a lot Sake- call Kevin Ricky!,1,google_maps,Tokyo Hibachi Catering,5
"We had Tokyo Hibachi Catering for our friend’s  event, and it was absolutely amazing! Kevin Ricky was unbelievable — professional, entertaining, and incredibly skilled. The food was fresh, delicious, and cooked to perfection right in front of us. Everyone was blown away by the experience — it was fun, interactive, and truly something special. If you’re looking for a unique and unforgettable catering experience, I can’t recommend Tokyo Hibachi and Kevin enough!",1,google_maps,Tokyo Hibachi Catering,5
