label,entity_norm,count
DATE,today,32
DATE,friday,17
DATE,sunday,17
DATE,saturday,15
DATE,yesterday,12
DATE,the day,11
DATE,the summer,10
DATE,last week,7
DATE,the next day,7
DATE,years,7
DATE,christmas,6
DATE,monday,6
DATE,the week,6
DATE,this week,5
DATE,tuesday,5
DATE,a few months ago,4
DATE,days,4
DATE,last year,4
DATE,sundays,4
DATE,thursday,4
DATE,weekday,4
DATE,2 days later,3
DATE,2 weeks,3
DATE,a few weeks ago,3
DATE,all day,3
DATE,daily,3
DATE,day,3
DATE,many years,3
DATE,the 1st,3
DATE,the weekend,3
DATE,two years,3
DATE,wednesday,3
DATE,weekend,3
DATE,weekly,3
DATE,1 week,2
DATE,2 months,2
DATE,2 nights,2
DATE,3 day,2
DATE,50s,2
DATE,a day,2
DATE,a few days later,2
DATE,a few weeks,2
DATE,a few years ago,2
DATE,a sunny day,2
DATE,a week ago,2
DATE,a year,2
DATE,december,2
DATE,halloween,2
DATE,july,2
DATE,last friday,2
DATE,one day,2
DATE,saturdays,2
DATE,summer,2
DATE,thanksgiving,2
DATE,that day,2
DATE,the first day,2
DATE,the free month,2
DATE,the other day,2
DATE,the same day,2
DATE,the years,2
DATE,these days,2
DATE,this past summer,2
DATE,this past weekend,2
DATE,those days,2
DATE,tomorrow,2
DATE,two day,2
DATE,1.5 year old,1
DATE,10 days,1
DATE,10 every day,1
DATE,10 month old,1
DATE,10 years,1
DATE,10 years ago,1
DATE,10-1230am,1
DATE,100000x,1
DATE,14 years in a row,1
DATE,16 year old,1
DATE,17 years,1
DATE,18+,1
DATE,19th century,1
DATE,2+ years ago,1
DATE,20 years ago,1
DATE,25 years old,1
DATE,3 business days later,1
DATE,3 days,1
DATE,3 days in a row,1
DATE,3 long islands,1
DATE,3.5 year old,1
DATE,30 days,1
DATE,32 days,1
DATE,4 day,1
DATE,4 months later,1
DATE,4 year grand,1
DATE,40's,1
DATE,40+ years,1
DATE,4th of july weekend,1
DATE,5 +,1
DATE,5 months,1
DATE,5 years,1
DATE,5+,1
DATE,50 year old,1
DATE,5yrs ago,1
DATE,70 year old,1
DATE,8 years,1
DATE,8:50,1
DATE,9 months ago,1
DATE,9 years ago,1
DATE,"\""""green",1
DATE,"\""""our\",1
DATE,\n\ntoday,1
DATE,\u00a31.99,1
DATE,a bad day,1
DATE,a busy day,1
DATE,a couple of days,1
DATE,a couple of weeks,1
DATE,a couple of years,1
DATE,a couple years ago,1
DATE,a few months,1
DATE,a few years,1
DATE,a free month,1
DATE,a good day,1
DATE,a great day,1
DATE,a little 18 year old,1
DATE,a little while ago,1
DATE,a mid friday,1
DATE,a month or,1
DATE,a quarter,1
DATE,a short weekend,1
DATE,a summer day,1
DATE,a two month old,1
DATE,a week,1
DATE,a week later,1
DATE,a weekend,1
DATE,about 10 years,1
DATE,about 2 months ago,1
DATE,about 2 years,1
DATE,about 3 years,1
DATE,about 36 years,1
DATE,about a week,1
DATE,about a year,1
DATE,about a year ago,1
DATE,all my years,1
DATE,all these years,1
DATE,all weekend,1
DATE,almost 1 week,1
DATE,almost 1 year ago,1
DATE,almost 15 years,1
DATE,almost a week,1
DATE,almost every day,1
DATE,an email a week later,1
DATE,an especially busy day,1
DATE,an exhausting weekend,1
DATE,another 2 days,1
DATE,another 6 years,1
DATE,another day,1
DATE,any day of the week,1
DATE,around 1978,1
DATE,at least 4 weeks,1
DATE,at least ten years,1
DATE,august of 2011,1
DATE,better days,1
DATE,channels.\n\nour,1
DATE,christmas day,1
DATE,cream-i'll,1
DATE,day one,1
DATE,dec. 26th,1
DATE,delish.\n\nso,1
DATE,earlier this year,1
DATE,early 20s,1
DATE,early 90s,1
DATE,edc weekend,1
DATE,eight years ago,1
DATE,every few days,1
DATE,every five years,1
DATE,every month,1
DATE,every weekend,1
DATE,february 2nd,1
DATE,february of this year,1
DATE,first day,1
DATE,four year old,1
DATE,four-year-old.\n\ndamn,1
DATE,frapp\u00e9 year round,1
DATE,friday 7-11,1
DATE,friday night april 11,1
DATE,fridays,1
DATE,funday,1
DATE,holiday weeks,1
DATE,january 20th,1
DATE,january 22nd,1
DATE,jj,1
DATE,july 2013,1
DATE,july 3rd,1
DATE,june of 2012,1
DATE,know.\n\nlater that day,1
DATE,last august,1
DATE,last day,1
DATE,last may,1
DATE,last month,1
DATE,last saturday,1
DATE,late 40s,1
DATE,late february,1
DATE,late november 2011,1
DATE,later in the day,1
DATE,like 6 years,1
DATE,lunch.\n\nthe 2nd,1
DATE,"many, many months",1
DATE,march,1
DATE,mid 30ish,1
DATE,mid-age,1
DATE,mondays,1
DATE,month,1
DATE,monthly,1
DATE,my 1st,1
DATE,nasty day,1
DATE,nearly every day,1
DATE,next day,1
DATE,next time\ni,1
DATE,next years,1
DATE,nice day,1
DATE,ok years ago,1
DATE,one day of day,1
DATE,only five days earlier,1
DATE,our 4 year old,1
DATE,our 6 month,1
DATE,our anniversary weekend,1
DATE,over 20 years,1
DATE,over 30 years,1
DATE,over 40 years,1
DATE,over 5 years,1
DATE,over a year,1
DATE,over a year ago,1
DATE,quarter,1
DATE,recent years,1
DATE,same day,1
DATE,season,1
DATE,seasonal,1
DATE,seasonally,1
DATE,september,1
DATE,several years ago,1
DATE,some days,1
DATE,"sunday august 26th, 2012",1
DATE,ten years ago,1
DATE,the 10 months,1
DATE,the 16th of october,1
DATE,the 25th,1
DATE,the 26th of july,1
DATE,the 27th october,1
DATE,the 3rd november,1
DATE,the 4 years,1
DATE,the 60 years,1
DATE,the b-day,1
DATE,the christmas day,1
DATE,the cool summer,1
DATE,the december holiday season,1
DATE,the early 2000,1
