text,label,source
"All the steaks are pre-made .. Once you order your steak they reheat the steak depend on your request! ( rare, medium or Weldon...) If you don't believe me go see it it by the grill for your self...they brought our steak 3 times and still not fresh!",0,huggingface_baseline
I was craving Dairy Queen for quite awhile.  When I finally went I was wondering what I wanted it so badly for?  I ordered a grape freeze.  The icey slush mixed with soft serve vanilla.  It was was so mediocre.  I felt like I was wasting calories for the day.  If I want a treat I can think of such better/higher quality treats and ice cream.,0,huggingface_baseline
Un endroit qui ressemble plus \u00e0 un bar sportif qu'\u00e0 un restaurant.\nL'accueil est bon mais sans plus. On oublie souvent de vous mettre \u00e0 la bonne table. On vous envoie \u00e0 la table r\u00e9serv\u00e9e pour quelqu'un d'autre et il faut ensuite rapidement changer de place. Les boissons sont tr\u00e8s ch\u00e8res pour bien peu. La pizza est bien ordinaire et tr\u00e8s ch\u00e8re aussi. Le rapport qualit\u00e9/prix n'est pas invitant.\n\nA sports bar more than a real restaurant.\nThe staff welcomes you but nothing more. They forget the table is already reserved for somebody else and then they politely invite you to move to an other table. Drinks are most of the time more expensive than they could really be valued. The pizza is average and more expensive than many other places. The quality/value ratio is not inviting.,0,huggingface_baseline
Horrible service... Food is gross!  Pretty much sums it up.  Decorations inside are nice to look at.  But I will never go back after eating the food.,0,huggingface_baseline
"My husband and sister surprised me with my 40th Birthday at Aroma Garden Cafe. The food, staff, and location were great! The guests were treated with Hummus, and a variety of salads that were fresh and delicious. The Entree Choices were chicken breast with wild mushrooms, sauted crusted salmon, chicken shish kabobs, NY strip steak, Filet mignon, and lamb chops. I ate the lamb chops and they were prepared perfectly to my liking. I got to taste test the filet mignon and the chicken dish with wild mushrooms. They were also fantastic.  I am a new fan of the Aroma Garden Cafe and I look forward to dining again with my hubby soon.",1,huggingface_baseline
"Compared to most hotels on The Strip this hotel is filth. Bedspreads, TVs from the 90's, no minibars, no mini-refrigerators, etc. One would be much better off paying for a cheaper room at a lesser known establishment and NOT paying for the name \""""Luxor\"""". Personal experience: I booked a 'Deluxe King Pyramid Room' three months in advance and checked in on time. I was given a double queen in one of the \""""towers\"""" which was okay since I didn't check in until 9pm and half expected this level of treatment from one of the lesser respected establishments on the Las Vegas Blvd. strip. BOTTOM LINE: I would highly recommend splurging and staying at the Wynn, Bellagio, Mandalay Bay, etc. or saving the extra twenty dollars and staying at a \""""no name\"""" establishment. I've been treated better at HoJos in the middle of nowhere. Seriously. DON'T STAY HERE. They don't need your business and they treat you as such.",0,huggingface_baseline
"I'm am shocked this place has an average 4 stars. We were highly disappointed, the only things that saved the night was the free glass of wine with Yelp check in an $10 off coupon I got for my birthday.\n\nNot to be a nit picker but my food wasn't up to par so I might as well complain about the dirty with sauce table cloth as well. Otherwise the restaurant itself was nice. Lots of room, it really filled up the longer we were there. Our waitress was average, she helped with questions but otherwise wasn't very attentive.\n\nWe were given some small pieces of complimentary garlic bread to start, it was average, nothing special about it. I'm a big fan of Arncini, so we ordered a plate to start. Ick! I ate one and didn't even want to finish that one. It had good crunch but the taste of the inside was not appealing, I make Arincini at home and have had it many other places and this was the worst I have ever had. We didn't even finish them or the bread and my husband is a bread fiend.\n\nOn of the menu items I saw had gotten lots of good reviews and states its a best selling dish was the Crazy Alfredo, I love Alfredo and wanted shrimp but also wanted to try something different so I ordered it. The dish was piled high but it didn't seem like Alfredo sauce, it was more like they threw Parmesan or mozzarella in the pasta, it actually started to harden as it cooled. The spice of the jalape\u00f1o wasn't over powering which was nice. Disappointed there were only 2 shrimp in the dish. Tons of sausage. The fettuccine tasted like box pasta. My friend got the same dish and was disappointed as well. Her husband was the only one that was pleased with his dish which was the Chicken Mount Etna. My husband got the Gnocchi with Vodka Sauce and added Chicken. OMG! I felt so bad for my husband, his gnocchi tasted like wet balls of wall paper paste, no taste, and the sauce did nothing to help. We've had gnocchi before also and these were very heavy and gross.\n\nI just wanted to get out of there, I can't believe I wasted by birthday dinner on Nora's, I will never go back or recommend it. My husband wanted to give me to give 1 star but my dish was at least edible.",0,huggingface_baseline
"5 stars for lunch options and value, 2.5 stars for lunchtime sushi.\n4 stars for dinner, 4 stars for dinner sushi.\n\nThis place has two faces - a simple and incredible value during lunch (4$ tasty lunch bento boxes...are you KIDDING?), and then a full blown, non-corporate teppan-yaki at night.\n\nI definitely tend to notice a difference in the quality of the sushi between lunch and dinner with the latter being preferable.  Dinner options are delicious and great fun, but the amazing dimension Kyoto brings to downtown Scottsdale are its lunch offerings.  Seriously, they're good, and under 5 bucks.  That alone makes it worth the trip!",1,huggingface_baseline
"Ew, this location was crawling with ankle biters gone wild and very dirty ....at nine in the morning, what gives? When I went up to the cash register the chick just looked at me with a look like what was I doing there. When she didn't say anything and I had to say \""""Hi\"""" again, she just looked at me all deer in the headlights-like. And then when I had to initiate more conversation like a \""""How are you?\"""" so we could get the ball rolling with the making of coffee, she finally caught on. Meh indeed my friends.",0,huggingface_baseline
"Horrible service. Asked 3 times to order, asked twice for a knife and what kind of Vietnamese restaurant doesn't have meatballs for your pho?",0,huggingface_baseline
